YearsFromRegistration,powerPS,kilometer,abtest_test,vehicleType_cabrio,vehicleType_coupe,vehicleType_limousine,vehicleType_others,vehicleType_small car,vehicleType_station wagon,vehicleType_suv,fuelType_diesel,fuelType_electro,fuelType_hybrid,fuelType_lpg,fuelType_other,fuelType_petrol,gearbox_manual,notRepairedDamage_yes,brand_encoded,monthOfRegistration_Q2,monthOfRegistration_Q3,monthOfRegistration_Q4,price
12,60,40000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,10,1,0,0,6990
21,54,125000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,32,1,0,0,1500
24,107,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,27,0,1,0,999
6,90,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,38,0,1,0,2450
24,306,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,1,3000
22,75,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,1650
13,120,100000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,11999
23,110,150000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,24,0,0,1,850
23,60,100000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,38,0,1,0,2990
11,84,80000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,19,0,0,0,7300
16,265,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,15900
22,41,150000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,32,0,0,1,999
35,26,90000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,37,0,1,0,1600
24,75,150000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,38,1,0,0,2200
16,105,150000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,38,1,0,0,5700
25,101,150000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1222
23,143,150000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,36,1,0,0,3400
7,110,70000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,9999
20,170,50000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,9400
20,197,150000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,0,8450
16,75,80000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,31,1,0,0,4400
17,220,150000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,39,0,1,0,10900
12,306,60000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,32000
22,197,150000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,0,6250
23,76,70000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,35,0,1,0,1800
25,101,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,0,0,1,1000
23,68,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,36,1,0,0,850
19,60,40000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,10,0,0,1,2500
18,129,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,8800
11,160,30000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,1,0,0,18250
26,150,100000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,24,0,1,0,5000
14,110,150000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,27,1,0,0,4550
20,58,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,27,0,0,1,1150
7,60,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,10,1,0,0,399
19,110,70000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,23,0,1,0,1650
21,116,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,0,0,1,2790
21,125,150000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,38,0,0,0,3800
21,58,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,12,0,0,0,1100
20,174,150000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38,1,0,0,18500
16,80,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,38,0,1,0,5750
14,86,90000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,30,0,0,1,6499
